ID,평균기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 지면온도(°C),성산1호기(초 당 m),호기,평균
2018-01-17,8.7,1.0,12.4,320,1053,7.2,290,1411,80.5,9.1,1014.8,9.2,7.7,1.0,4635.0
2018-01-18,8.1,0.0,10.2,290,1145,5.9,290,1230,66.4,7.1,1020.2,6.5,6.9,1.0,3588.0
2018-01-19,6.4,0.0,10.6,290,1016,6.1,290,920,52.3,4.9,1019.9,4.1,8.3,1.0,5806.0
2018-01-20,6.1,0.0,10.2,50,1409,6.2,360,1412,51.0,4.7,1019.8,3.0,8.0,1.0,4978.0
2018-01-21,8.2,0.0,8.5,20,1111,4.7,20,1112,56.1,6.0,1018.8,5.8,5.7,1.0,2102.0
2018-01-22,7.8,5.0,10.4,290,2354,6.4,290,2323,73.4,7.7,1014.1,7.7,5.0,1.0,1515.0
2018-01-23,1.1,0.9,11.2,320,123,6.5,290,12,74.0,4.9,1020.1,2.3,8.4,1.0,4993.0
2018-01-24,-2.2,3.0,10.8,320,1409,5.8,290,1454,72.5,3.8,1024.0,1.5,8.9,1.0,5869.0
2018-01-25,-2.9,0.2,14.1,320,1905,6.7,290,1910,67.5,3.3,1024.6,-1.6,12.7,1.0,10156.0
2018-01-26,-2.1,0.2,14.2,340,1240,7.4,290,1544,65.8,3.5,1024.3,-1.5,14.3,1.0,11126.0
2018-01-27,0.2,0.0,11.6,90,15,5.4,290,1115,58.0,3.6,1023.4,-0.6,7.8,1.0,4274.0
2018-01-28,2.2,0.1,13.8,290,1515,8.0,290,1507,67.0,4.8,1018.6,1.7,9.7,1.0,7309.0
2018-01-29,0.8,0.4,11.8,270,1517,7.5,290,1443,69.3,4.4,1020.7,1.1,9.7,1.0,7169.0
2018-01-30,0.8,0.0,8.9,270,1502,5.9,290,1511,73.4,4.8,1024.1,2.2,6.2,1.0,2196.0
2018-02-01,3.2,0.0,10.0,20,1233,5.7,360,1237,53.9,4.1,1024.6,3.2,7.4,1.0,3651.0
2018-02-02,2.5,0.0,12.2,290,1138,7.0,290,859,50.0,3.6,1024.8,2.6,9.1,1.0,6622.0
2018-02-03,0.0,2.7,11.4,290,1353,6.5,290,1453,69.9,4.3,1025.2,1.2,11.5,1.0,9482.0
2018-02-04,-1.9,5.9,10.4,270,1158,5.5,290,833,71.4,3.8,1025.6,0.3,11.4,1.0,8512.0
2018-02-05,-1.4,11.3,11.0,360,840,5.5,290,1658,75.9,4.1,1024.0,0.3,8.0,1.0,4996.0
2018-02-06,-2.2,12.7,10.7,290,1549,5.9,290,754,79.0,4.1,1023.0,0.3,7.8,1.0,4002.0
2018-02-07,-0.2,0.2,7.9,360,1342,4.0,340,1343,74.1,4.5,1023.0,0.3,5.6,1.0,1271.0
2018-02-08,1.4,13.1,8.6,90,1044,4.6,70,1135,84.0,5.7,1020.5,0.2,3.4,1.0,264.0
2018-02-09,6.1,0.0,8.7,200,1236,5.4,200,1208,65.1,6.1,1020.1,0.6,5.3,1.0,1305.0
2018-02-10,4.6,3.6,11.7,250,1722,5.8,320,1722,69.3,5.9,1018.9,3.4,9.6,1.0,5300.0
2018-02-11,1.6,0.4,13.7,340,2103,7.8,290,2014,52.8,3.6,1022.0,1.5,9.7,1.0,6148.0
2018-02-12,1.7,0.1,12.6,290,1159,7.6,290,1207,54.3,3.7,1022.5,1.3,9.7,1.0,7067.0
2018-02-13,4.6,0.0,12.3,290,310,7.4,290,307,45.1,3.8,1022.8,4.8,6.7,1.0,3275.0
2018-02-14,9.8,0.0,12.6,200,1011,8.0,230,1019,69.0,8.5,1017.4,7.2,9.2,1.0,5875.0
2018-02-15,6.4,0.1,11.4,320,1256,6.1,320,1303,63.5,6.1,1016.3,6.5,8.3,1.0,5393.0
2018-02-16,5.5,0.0,13.0,320,2034,7.4,290,1802,51.8,4.6,1015.3,4.4,7.2,1.0,4351.0
2018-02-17,3.6,0.0,12.6,290,1014,6.9,290,1559,47.6,3.7,1021.1,4.2,10.9,1.0,7470.0
2018-02-18,6.2,0.3,7.7,340,2245,4.7,360,2251,58.3,5.5,1021.4,4.3,4.5,1.0,1147.0
2018-02-19,7.4,3.1,7.1,20,1547,4.5,360,1053,68.8,7.0,1019.1,6.4,4.6,1.0,711.0
2018-02-21,5.0,0.0,11.4,250,1045,6.1,290,35,45.4,4.0,1019.6,5.5,9.6,1.0,7556.0
2018-02-22,3.7,0.0,9.9,320,207,5.8,20,956,38.5,3.0,1020.9,3.8,6.9,1.0,3292.0
2018-02-23,7.4,0.0,8.5,230,1614,5.4,200,1601,60.4,6.2,1022.3,5.4,5.4,1.0,1636.0
2018-02-24,8.8,0.0,7.2,50,1138,4.2,290,520,64.5,7.3,1024.1,8.8,4.0,1.0,981.0
2018-02-25,9.4,0.0,9.7,320,2123,5.9,290,2128,65.6,7.7,1020.7,8.9,5.1,1.0,1787.0
2018-02-26,8.1,0.0,8.4,270,704,4.9,360,1030,54.6,5.7,1021.6,9.4,5.1,1.0,2233.0
2018-02-27,11.2,0.0,7.8,180,2142,5.5,180,2148,65.5,8.6,1020.7,10.7,5.1,1.0,1234.0
2018-02-28,11.3,72.2,28.3,290,2120,17.1,290,2108,82.0,11.1,1002.6,10.6,13.2,1.0,5149.0
2018-03-01,6.2,0.0,25.8,290,43,15.3,290,13,63.3,6.2,1011.3,5.5,14.1,1.0,6926.0
2018-03-02,5.7,0.0,10.2,290,206,5.4,290,243,64.6,5.8,1015.4,7.1,6.7,1.0,3594.0
2018-03-03,10.7,0.9,8.6,140,1110,5.4,110,1020,86.9,11.4,1012.3,8.5,4.2,1.0,764.0
2018-03-04,15.0,20.6,10.0,230,2346,5.9,230,2347,95.3,16.2,1009.5,13.3,7.8,1.0,3798.0
2018-03-06,8.9,0.0,12.6,360,1005,7.3,20,1111,66.6,7.5,1025.2,9.2,8.5,1.0,4852.0
2018-03-07,10.1,34.3,12.0,70,1107,7.3,70,1116,77.3,9.4,1021.1,8.6,8.4,1.0,4986.0
2018-03-08,6.4,27.0,15.3,290,1140,9.7,290,2249,81.0,7.8,1013.9,7.8,14.7,1.0,10836.0
2018-03-09,5.3,0.0,12.5,270,49,7.4,290,45,70.6,6.3,1020.9,6.3,8.8,1.0,6187.0
2018-03-10,7.2,0.0,8.7,320,2229,5.4,290,2304,65.1,6.5,1022.3,7.0,4.6,1.0,1790.0
2018-03-11,8.5,0.0,7.8,320,612,4.6,290,2,68.3,7.4,1023.3,9.2,4.6,1.0,1726.0
2018-03-12,10.8,0.0,9.7,200,1510,6.5,180,1447,75.0,9.5,1020.9,11.1,5.8,1.0,1889.0
2018-03-13,14.4,0.0,10.0,200,1135,6.4,200,1105,75.0,12.2,1018.8,13.6,8.3,1.0,4640.0
2018-03-14,16.2,0.0,8.9,200,2341,6.1,200,2400,81.9,15.1,1018.3,15.7,9.1,1.0,5660.0
2018-03-15,15.6,34.5,12.7,200,1030,7.8,180,810,94.3,16.6,1012.2,15.5,8.9,1.0,5802.0
2018-03-16,8.9,1.4,15.1,50,1641,8.3,290,343,78.1,9.0,1019.4,10.1,10.7,1.0,8177.0
2018-03-17,9.0,0.0,9.8,50,923,5.7,50,921,68.9,7.9,1024.4,10.4,6.3,1.0,2480.0
2018-03-18,13.6,5.4,7.2,160,2310,4.6,140,1929,88.9,14.0,1017.0,12.4,5.6,1.0,1841.0
2018-03-19,13.3,21.6,14.4,50,2139,8.3,50,2253,92.1,14.2,1009.3,14.2,7.7,1.0,4955.0
2018-03-20,8.4,16.9,17.8,20,2027,10.3,50,1355,79.5,8.7,1015.1,8.2,15.3,1.0,11506.0
2018-03-21,4.7,12.4,13.9,20,107,8.5,360,220,88.9,7.6,1010.8,6.6,8.5,1.0,5434.0
2018-03-22,6.5,0.1,9.3,230,1219,5.5,290,2400,70.3,6.7,1012.8,8.1,8.6,1.0,5441.0
2018-03-23,8.2,0.0,8.4,290,829,5.8,290,5,55.8,6.0,1017.5,9.3,6.3,1.0,3158.0
2018-03-24,10.5,0.0,5.7,110,1159,3.8,110,1228,63.3,8.1,1021.3,10.8,4.7,1.0,1093.0
2018-03-25,11.6,0.0,6.1,160,1200,4.1,180,1204,78.9,10.7,1023.0,13.2,2.9,1.0,350.0
2018-03-26,12.5,0.0,7.4,180,1240,5.1,180,1236,72.4,10.2,1020.3,14.2,2.6,1.0,127.0
2018-03-27,12.5,0.0,8.0,180,1359,5.6,180,1408,74.8,10.8,1017.5,14.8,2.5,1.0,111.0
2018-03-28,13.5,0.0,8.0,180,1415,5.7,180,1554,79.3,12.5,1016.2,16.5,5.3,1.0,1693.0
2018-03-29,14.5,0.0,6.5,70,1258,4.4,70,1348,80.4,13.2,1017.7,18.1,3.6,1.0,584.0
2018-03-30,14.1,0.0,9.1,20,948,5.9,50,949,74.5,11.8,1021.0,17.8,5.5,1.0,1596.0
2018-03-31,14.5,0.0,4.9,90,1139,3.6,90,1141,77.5,12.7,1018.8,18.2,3.9,1.0,420.0
2018-04-01,17.4,0.0,8.5,180,1409,6.2,180,1506,83.3,16.4,1015.4,21.0,6.9,1.0,2774.0
2018-04-02,18.5,0.0,9.2,180,1429,5.8,180,1414,85.0,17.9,1014.6,22.4,7.1,1.0,2751.0
2018-04-03,18.6,0.0,7.7,180,1325,4.9,180,1205,85.5,18.2,1015.6,22.4,6.7,1.0,2573.0
2018-04-04,18.6,0.2,11.6,110,2253,7.3,90,2308,83.1,17.6,1014.7,21.0,5.3,1.0,1873.0
2018-04-05,15.6,7.2,11.0,110,909,7.6,90,912,92.8,16.5,1012.5,16.5,5.9,1.0,2452.0
2018-04-06,11.1,8.0,16.3,290,502,9.5,290,1748,67.6,9.4,1011.0,13.4,13.2,1.0,9791.0
2018-04-07,6.0,0.0,16.9,320,1044,9.9,290,1052,51.6,4.8,1017.3,6.1,11.5,1.0,8857.0
2018-04-08,10.4,0.0,15.2,230,1726,10.6,200,1741,55.9,7.2,1016.5,10.2,8.4,1.0,5661.0
2018-04-09,13.6,0.0,11.3,230,36,7.5,200,42,70.5,10.7,1016.2,17.1,6.1,1.0,2852.0
2018-04-10,17.0,0.0,15.8,200,1629,10.5,200,1629,77.1,14.7,1013.0,19.0,13.6,1.0,9541.0
2018-04-11,17.5,0.0,13.4,200,12,9.1,200,16,63.8,12.8,1010.2,21.0,7.6,1.0,4431.0
2018-04-12,16.7,0.0,8.9,360,834,4.8,360,837,28.9,5.6,1016.0,19.3,5.9,1.0,2320.0
2018-04-13,15.9,1.2,12.4,90,2111,7.7,70,2112,53.5,9.5,1018.3,17.6,7.9,1.0,5495.0
2018-04-14,14.1,47.1,16.2,290,1725,10.6,290,1903,87.8,14.6,1004.8,15.3,12.6,1.0,7907.0
2018-04-15,11.2,0.0,16.2,320,1751,10.8,290,1759,59.1,7.6,1011.5,10.9,15.6,1.0,9880.0
2018-04-16,11.6,0.0,12.7,320,428,8.8,290,432,65.6,8.9,1016.9,11.8,8.2,1.0,4246.0
2018-04-17,13.6,0.1,7.7,70,1418,4.8,70,1418,78.0,12.1,1017.5,16.5,4.3,1.0,499.0
2018-04-18,12.9,0.0,8.6,180,1222,6.1,180,1058,70.3,10.1,1016.0,17.2,3.1,1.0,505.0
2018-04-19,12.6,0.0,7.0,180,1454,4.9,180,1252,69.9,10.0,1016.7,17.2,2.4,1.0,88.0
2018-04-20,14.8,0.0,7.6,180,1444,5.6,180,1449,62.6,10.3,1018.0,18.9,3.2,1.0,407.0
2018-04-21,17.3,0.0,10.0,180,1056,6.0,180,1030,79.6,15.8,1016.8,19.7,8.9,1.0,4132.0
2018-04-23,17.8,100.0,11.6,90,118,7.5,90,126,97.0,19.7,1008.8,18.0,8.3,1.0,3395.0
2018-04-24,14.4,23.4,8.6,20,1201,5.3,360,849,94.1,15.5,1005.7,15.7,5.0,1.0,1044.0
2018-04-25,13.8,1.5,6.5,50,1328,4.0,70,1358,73.9,11.5,1011.2,17.3,2.7,1.0,100.0
2018-04-26,15.2,0.0,6.7,290,2117,4.7,290,2124,69.5,11.8,1012.5,15.3,4.8,1.0,1296.0
2018-04-27,16.4,0.0,9.3,290,159,6.0,290,208,64.8,11.9,1013.1,17.0,7.0,1.0,3501.0
2018-04-28,15.9,0.0,8.3,180,1245,5.6,180,1250,86.3,15.5,1015.1,19.9,3.2,1.0,189.0
2018-04-29,16.0,0.0,8.7,180,1441,6.2,180,1553,80.3,14.5,1012.7,19.9,4.5,1.0,1118.0
2018-04-30,17.6,21.8,7.5,140,829,5.1,180,1348,90.8,18.2,1013.1,18.6,8.2,1.0,4086.0
2018-05-01,17.8,0.8,5.6,90,1929,3.8,110,1936,96.6,19.7,1010.7,18.6,5.0,1.0,949.0
2018-05-02,17.1,0.8,16.0,290,1858,11.5,290,1831,86.5,17.3,1005.5,18.8,7.6,1.0,4477.0
2018-05-03,13.7,0.2,13.0,290,1404,8.1,290,1514,59.4,9.0,1012.0,12.0,9.5,1.0,6575.0
2018-05-04,15.1,0.0,9.3,230,1555,5.3,290,1006,43.1,6.8,1015.7,16.3,6.3,1.0,2991.0
2018-05-05,17.4,0.0,10.8,200,1124,7.3,200,1258,74.4,14.9,1015.6,19.6,8.7,1.0,5622.0
2018-05-06,17.5,59.6,13.1,200,1116,8.5,180,609,94.6,18.8,1005.5,17.5,9.6,1.0,6705.0
2018-05-07,16.5,8.6,10.9,20,1458,5.6,20,1324,93.1,17.5,1003.0,17.1,5.5,1.0,2047.0
2018-05-08,15.3,0.0,14.2,50,2208,7.7,50,1515,77.0,13.4,1010.0,14.9,9.5,1.0,6630.0
2018-05-09,14.8,0.0,11.0,50,143,6.3,50,146,68.6,11.5,1019.1,16.4,6.7,1.0,2800.0
2018-05-10,14.6,0.0,7.7,20,855,4.2,70,924,74.1,12.2,1021.0,19.4,4.3,1.0,254.0
2018-05-11,16.3,0.1,6.0,180,1453,4.4,180,1507,76.5,14.4,1016.5,19.4,3.9,1.0,631.0
2018-05-12,19.3,0.4,11.9,160,1121,7.0,200,1729,81.6,18.2,1010.2,19.9,9.5,1.0,6340.0
2018-05-13,19.3,20.0,9.2,200,145,5.8,200,146,71.9,15.8,1006.8,20.7,7.4,1.0,3687.0
2018-05-14,18.9,0.0,7.4,180,1601,4.8,180,1523,71.6,15.5,1009.9,20.5,2.1,1.0,1399.0
2018-05-15,20.2,0.0,9.9,230,2332,6.2,180,1210,82.4,19.6,1009.1,20.1,8.9,1.0,4616.0
2018-05-16,21.2,0.0,13.1,200,2038,7.7,200,1526,95.9,24.0,1006.3,22.0,11.3,1.0,8294.0
2018-05-17,21.1,5.0,14.8,230,830,9.8,200,38,97.0,24.2,1004.4,22.4,11.7,1.0,9565.0
2018-05-18,20.3,6.3,8.2,200,3,5.5,200,153,94.0,22.4,1003.9,23.6,6.3,1.0,2980.0
2018-05-19,16.0,0.9,15.0,70,1007,7.5,20,1950,80.3,14.5,1012.0,16.9,9.6,1.0,6546.0
2018-05-20,16.2,1.0,12.5,70,657,7.1,50,537,74.3,13.6,1014.0,16.0,10.2,1.0,7145.0
2018-05-21,17.2,0.0,10.1,50,839,5.6,50,802,85.0,16.6,1014.6,18.4,6.1,1.0,2063.0
2018-05-22,18.9,1.5,5.8,160,2350,4.0,180,2331,88.1,19.2,1010.0,22.5,4.5,1.0,730.0
2018-05-23,18.8,12.8,21.7,340,1107,8.2,290,1619,64.8,14.0,1004.8,18.6,10.0,1.0,6834.0
2018-05-24,18.5,0.0,10.6,290,3,6.6,290,9,62.3,13.4,1008.7,18.0,4.7,1.0,1468.0
2018-05-25,19.1,1.2,9.7,200,1608,5.8,200,1608,65.6,14.3,1006.5,20.4,4.0,1.0,520.0
2018-05-26,17.1,12.1,7.1,50,1532,4.6,20,1533,86.6,16.8,1006.7,20.0,3.2,1.0,201.0
2018-05-27,19.3,3.6,6.2,180,1411,4.1,180,1425,84.9,19.0,1008.5,20.2,2.7,1.0,168.0
2018-05-28,18.7,14.8,6.3,70,1208,3.9,90,1210,96.3,20.8,1007.7,20.6,3.5,1.0,291.0
2018-05-29,19.7,2.1,6.2,20,758,3.8,360,802,93.6,21.4,1009.4,23.0,2.7,1.0,92.0
2018-05-30,20.7,0.0,6.2,180,1603,4.3,180,1606,90.5,21.9,1009.0,24.2,2.2,1.0,38.0
2018-05-31,19.2,0.0,8.3,270,932,4.8,290,908,70.3,15.4,1009.7,19.1,5.3,1.0,1697.0
2018-06-01,21.3,0.0,6.5,360,844,3.9,360,904,59.4,14.5,1012.5,23.5,4.7,1.0,822.0
2018-06-02,21.5,0.0,6.0,20,826,3.9,360,911,63.4,15.9,1012.8,23.8,3.1,1.0,414.0
2018-06-03,20.4,0.0,7.7,180,1527,4.9,180,1541,79.6,19.1,1011.7,25.1,3.6,1.0,392.0
2018-06-04,20.8,0.0,4.7,320,617,2.6,140,1044,82.9,20.4,1011.2,24.6,3.5,1.0,517.0
2018-06-05,19.5,56.3,8.9,50,1316,5.2,50,1324,94.9,21.4,1009.4,20.8,4.9,1.0,1228.0
2018-06-06,20.7,0.0,5.4,180,1643,4.0,90,1249,85.3,20.6,1010.3,23.9,2.5,1.0,61.0
2018-06-07,20.9,0.0,5.4,90,1447,4.1,90,1440,81.9,20.0,1009.5,24.7,2.7,1.0,151.0
2018-06-08,21.8,0.0,6.5,270,540,4.3,180,1707,75.1,19.4,1006.2,24.6,4.3,1.0,1278.0
2018-06-09,20.4,0.0,10.4,90,2034,5.9,50,1611,81.4,19.5,1004.1,21.8,5.4,1.0,1925.0
2018-06-11,18.8,14.0,8.2,50,126,4.8,20,135,89.4,19.2,998.9,20.0,4.5,1.0,782.0
2018-06-12,20.3,0.5,7.6,340,808,4.5,290,823,84.1,19.8,1001.8,22.9,4.0,1.0,821.0
2018-06-13,20.5,0.0,7.4,70,1426,5.5,90,1426,78.4,18.7,1005.2,23.3,4.1,1.0,552.0
2018-06-14,21.0,0.3,9.7,90,1958,6.1,90,2017,82.4,20.4,1004.9,22.6,4.5,1.0,1321.0
2018-06-15,20.1,0.0,11.3,50,1141,6.0,50,1215,77.8,18.2,1007.7,20.3,7.1,1.0,3070.0
2018-06-16,19.6,0.0,11.2,50,1019,7.0,50,940,74.4,16.9,1009.8,20.8,7.9,1.0,4111.0
2018-06-17,20.0,0.0,7.3,360,1126,4.2,70,1304,83.0,19.3,1007.9,23.0,4.0,1.0,368.0
2018-06-18,21.2,0.0,5.4,70,1020,3.8,70,1102,81.4,20.3,1005.5,23.7,2.6,1.0,61.0
2018-06-19,20.2,44.6,6.0,90,1754,3.7,110,1452,92.1,21.7,1002.5,21.1,4.6,1.0,637.0
2018-06-20,22.1,1.2,9.4,360,1113,4.2,340,1116,78.5,20.6,1001.9,22.8,5.4,1.0,1135.0
2018-06-21,23.2,0.0,7.6,200,1611,5.2,180,1610,67.6,18.9,1005.0,23.6,5.5,1.0,1386.0
2018-06-22,21.7,0.8,7.0,340,925,4.3,360,1006,71.5,18.4,1006.3,22.2,4.0,1.0,696.0
2018-06-23,20.7,1.7,7.0,70,1237,5.3,90,1239,78.0,18.9,1004.6,23.9,3.5,1.0,468.0
2018-06-24,22.2,0.0,6.8,320,631,4.9,180,934,75.1,20.0,1007.1,26.4,3.9,1.0,915.0
2018-06-25,22.7,0.0,6.3,180,1505,4.6,180,1632,82.6,23.0,1009.0,28.1,5.6,1.0,1187.0
2018-06-26,24.6,0.0,14.7,200,1144,8.7,200,1149,90.4,27.8,1006.7,24.6,11.5,1.0,7748.0
2018-06-27,24.2,3.2,16.6,200,50,10.5,200,56,91.1,27.4,1003.4,23.8,9.3,1.0,5926.0
2018-06-28,23.2,35.2,11.6,200,51,7.0,200,54,94.3,26.7,1000.0,23.1,8.7,1.0,5491.0
2018-06-29,23.2,32.1,11.2,250,7,6.6,200,1426,90.0,25.5,1002.2,24.7,6.5,1.0,2595.0
2018-06-30,22.5,181.0,8.9,140,2239,5.3,140,2255,95.4,25.8,1007.3,21.9,5.4,1.0,1516.0
2018-07-01,24.8,0.6,8.9,140,1057,5.6,140,1022,93.0,28.9,1006.5,27.3,11.0,1.0,6359.0
2018-07-02,25.1,0.3,7.4,50,2358,4.1,20,1950,89.4,28.4,1004.1,27.3,7.7,1.0,3611.0
2018-07-03,24.1,17.7,18.1,360,1127,11.2,20,1044,86.5,25.7,992.7,23.2,12.0,1.0,8483.0
2018-07-04,25.9,0.0,8.7,270,104,5.3,270,101,81.3,27.0,997.6,27.4,5.2,1.0,2489.0
2018-07-05,23.6,0.1,7.4,90,2057,4.1,70,2057,90.4,26.2,1000.3,24.9,3.4,1.0,455.0
2018-07-06,22.0,22.0,12.4,70,1838,6.8,50,1935,91.9,24.3,1002.7,22.4,8.0,1.0,4013.0
2018-07-07,21.0,0.0,12.5,50,921,7.5,50,937,81.9,20.3,1007.1,20.6,9.7,1.0,6017.0
2018-07-08,20.9,1.0,10.1,50,213,6.0,70,546,89.8,22.1,1009.3,21.1,6.7,1.0,2943.0
2018-07-09,23.8,0.1,7.5,50,35,5.1,180,1336,92.8,27.3,1011.8,25.6,5.7,1.0,1985.0
2018-07-10,24.0,0.0,5.9,90,321,3.9,90,247,90.8,26.9,1012.7,27.3,5.3,1.0,1158.0
2018-07-11,25.7,0.0,4.6,160,1612,2.7,140,1325,88.9,29.3,1013.1,29.1,6.5,1.0,2067.0
2018-07-12,26.1,0.0,7.2,180,1442,4.7,180,1442,89.8,30.2,1011.9,30.4,5.8,1.0,1397.0
2018-07-13,26.0,0.0,7.9,180,1436,5.7,180,1518,86.3,28.9,1010.8,30.9,3.8,1.0,487.0
2018-07-14,25.5,0.0,7.7,160,1545,5.3,180,1549,84.6,27.5,1009.9,31.5,2.9,1.0,180.0
2018-07-15,25.5,0.0,5.1,200,1724,3.9,180,1742,84.0,27.3,1010.4,32.4,2.6,1.0,64.0
2018-07-16,26.0,0.0,5.9,180,1638,4.3,180,1616,83.9,28.0,1010.7,33.0,3.6,1.0,369.0
2018-07-17,26.8,0.0,5.5,180,1427,3.8,180,1621,82.5,28.9,1010.3,34.2,3.5,1.0,364.0
2018-07-18,27.0,0.0,5.9,90,1104,4.2,70,1129,77.3,27.2,1009.7,35.1,2.8,1.0,106.0
2018-07-19,27.5,0.0,7.2,70,1430,4.8,70,1455,68.6,24.7,1008.6,34.7,3.2,1.0,403.0
2018-07-20,28.2,0.0,5.9,20,1344,3.8,70,1012,69.4,26.1,1006.8,35.7,2.9,1.0,92.0
2018-07-21,28.8,0.0,8.6,70,1508,5.1,70,1515,81.0,31.9,1006.0,34.6,4.4,1.0,1122.0
2018-07-22,28.5,0.0,12.0,110,1012,7.5,90,629,81.3,31.5,1005.7,34.2,10.2,1.0,7009.0
2018-07-23,28.0,0.0,7.8,180,136,4.9,180,130,83.9,31.6,1006.8,36.3,7.0,1.0,2383.0
2018-07-24,27.5,0.0,8.6,180,1208,6.0,180,1410,86.3,31.5,1006.3,34.9,6.3,1.0,1860.0
2018-07-25,27.9,0.0,8.3,180,1340,6.2,180,1354,82.6,30.7,1006.0,35.0,4.9,1.0,1014.0
2018-07-26,27.5,0.0,5.6,270,148,3.5,90,1352,82.5,30.0,1005.6,34.6,2.6,1.0,89.0
2018-07-27,28.5,0.0,8.0,180,1353,5.7,180,1354,76.6,29.6,1004.9,35.3,4.0,1.0,1057.0
2018-07-28,29.5,0.0,8.4,270,135,5.2,290,143,72.3,29.6,1003.2,36.8,5.1,1.0,2189.0
2018-07-29,29.8,0.0,9.1,290,2252,5.6,290,2200,68.6,28.1,999.8,37.5,5.3,1.0,1984.0
2018-07-30,28.4,0.0,10.7,20,809,6.3,50,1435,77.1,29.6,1000.1,34.6,6.6,1.0,2575.0
2018-07-31,28.5,0.0,12.3,20,1203,7.0,20,1054,75.9,29.3,1001.0,36.4,6.9,1.0,2896.0
2018-08-01,28.6,0.0,10.7,360,1010,6.8,50,1320,77.9,30.3,1000.4,34.3,6.7,1.0,2560.0
2018-08-02,29.1,0.0,10.1,50,1445,6.5,50,1447,80.4,32.3,1002.5,36.5,5.4,1.0,1875.0
2018-08-03,28.3,0.4,12.8,110,1158,8.3,110,1159,83.4,32.0,1005.1,31.4,9.2,1.0,5518.0
2018-08-04,28.3,0.0,7.8,160,1437,5.6,180,1437,84.0,32.1,1006.5,34.6,4.6,1.0,725.0
2018-08-05,28.0,0.0,6.3,180,1638,4.5,180,1640,79.6,30.0,1005.9,32.5,2.4,1.0,305.0
2018-08-06,29.6,0.0,9.4,290,739,5.5,290,734,72.8,29.8,1004.2,36.7,5.5,1.0,2422.0
2018-08-07,28.3,0.0,8.6,70,1259,6.0,50,1225,79.1,30.3,1005.0,33.4,4.4,1.0,707.0
2018-08-08,28.5,0.0,8.4,90,1231,4.9,70,1239,77.3,29.9,1004.6,33.3,4.9,1.0,968.0
2018-08-09,29.2,0.0,8.3,360,1443,5.0,360,1452,75.9,30.3,1002.8,33.9,4.5,1.0,1080.0
2018-08-10,29.0,0.0,8.2,340,1303,4.7,360,1316,74.5,29.4,1001.2,33.5,3.7,1.0,856.0
2018-08-11,28.7,1.0,9.5,70,1033,5.5,70,1106,78.8,30.9,1002.1,33.1,5.4,1.0,1237.0
2018-08-12,29.2,0.0,9.8,70,202,6.6,90,213,82.0,33.1,1004.1,34.0,7.5,1.0,3242.0
